post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Potencia,attribute_data:Potencia
"Kit solar híbrido de 3kva",long-sleeve-tee,,38,"A continuación, se detalla el contenido del kit y sus características:
Componentes del Kit:
<ol>
 	<li>Inversor
<ul>
 	<li>Inversor 3kVA - Powest: 1 unidad</li>
</ul>
</li>
 	<li>Paneles Solares
<ul>
 	<li>Panel solar de 575W: 4 unidades</li>
</ul>
</li>
 	<li>Protección Eléctrica
<ul>
 	<li>DPS tipo riel DIN</li>
 	<li>Breaker  DC riel DIN</li>
 	<li>Breaker  DC riel DIN</li>
 	<li>Tablero de protección 12 circuitos</li>
</ul>
</li>
 	<li>Estructura de Montaje
<ul>
 	<li>Riel: 2.5 unidades</li>
 	<li>L: 8 unidades</li>
 	<li>EndClamp: 4 unidades</li>
 	<li>MidClamp: 6 unidades</li>
</ul>
</li>
 	<li>Accesorios de Instalación
<ul>
 	<li>Clip de Tierra: 6 unidades</li>
 	<li>Lug Tierra: 1 unidad</li>
 	<li>Cable solar 4mm - Rojo: 15 metros</li>
 	<li>Cable solar 4mm - Negro: 15 metros</li>
 	<li>Cable 12 AWG verde: 15 metros</li>
 	<li>Cable tipo soldador #2: 3 metros</li>
 	<li>MC4: 2 unidades</li>
 	<li>Conector MC4 en Y: 1 unidad</li>
 	<li>Terminal de ojo para cable 2 AWG: 4 unidades</li>
 	<li>Prensa estopa 1/2: 6 unidades</li>
</ul>
</li>
</ol>","Este kit solar de 3kVA es una solución eficiente y completa para tus necesidades
energéticas. Incluye todos los componentes necesarios para una instalación segura y
funcional.",publish,,0,"2024-09-19 16:25:31",1,closed,kit-hibrido-3kva,,,no,no,,9500000,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/ENERGY-4.0-2.png ! alt :  ! title : ENERGY 4.0 (2) ! desc :  ! caption :  | https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/INVERSOR-SOLAR-ALL-IN-ONE-POWEST-3KVA-ON-GRID-derecha.webp ! alt :  ! title : INVERSOR-SOLAR-ALL-IN-ONE-POWEST-3KVA-ON-GRID-derecha ! desc :  ! caption :  | https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/b8cb1a63aceb039e7a97a5a6ffbcf955-removebg-preview.png ! alt :  ! title : b8cb1a63aceb039e7a97a5a6ffbcf955-removebg-preview ! desc :  ! caption :  | https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/c23565_106f2027161a440f9c547c5357048aa0_mv2-removebg-preview.png ! alt :  ! title : c23565_106f2027161a440f9c547c5357048aa0_mv2-removebg-preview ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/long-sleeve-tee/,0,,simple,,"Kits Solares|Kits Solares > Kits solares híbridos",,,575W,1|1|0
"End Clamp 40mm - PROCET SCIENTIFIC",end-clamp-40mm-procet-scientific,,428,"Abrazadera de extremo de 40mm ideal para sujetar paneles solares de forma segura en instalaciones fotovoltaicas. Fabricada con materiales resistentes a la intemperie.",,publish,,0,"2024-09-23 08:50:26",1,open,,,,no,no,,4750,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/b8cb1a63aceb039e7a97a5a6ffbcf955-removebg-preview.png ! alt :  ! title : b8cb1a63aceb039e7a97a5a6ffbcf955-removebg-preview ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/end-clamp-40mm-procet-scientific/,0,,simple,,"Estructura para paneles",,,,
"End Clamp 35mm - PROCET SCIENTIFIC",end-clamp-35mm-procet-scientific,,430,"Abrazadera de extremo de 35mm ideal para sujetar paneles solares de forma segura en instalaciones fotovoltaicas. Fabricada con materiales resistentes a la intemperie.",,publish,,0,"2024-09-23 08:53:57",1,open,,,,no,no,,4845,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/b8cb1a63aceb039e7a97a5a6ffbcf955-removebg-preview.png ! alt :  ! title : b8cb1a63aceb039e7a97a5a6ffbcf955-removebg-preview ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/end-clamp-35mm-procet-scientific/,0,,simple,,"Estructura para paneles",,,,
"Inter Clamp 40mm - PROCET SCIENTIFIC",inter-clamp-40mm-procet-scientific,,431,"Abrazadera intermedia de 40mm para paneles solares, proporcionando una sujeción firme entre los módulos.",,publish,,0,"2024-09-23 08:59:25",1,open,,,,no,no,,4750,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/c23565_106f2027161a440f9c547c5357048aa0_mv2-removebg-preview.png ! alt :  ! title : c23565_106f2027161a440f9c547c5357048aa0_mv2-removebg-preview ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/inter-clamp-40mm-procet-scientific/,0,,simple,,"Estructura para paneles",,,,
"Inter Clamp 35mm - PROCET SCIENTIFIC",inter-clamp-35mm-procet-scientific,,432,"Abrazadera intermedia de 35mm para paneles solares, proporcionando una sujeción firme entre los módulos.",,publish,,0,"2024-09-23 09:00:50",1,open,,,,no,no,,4845,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/c23565_106f2027161a440f9c547c5357048aa0_mv2-removebg-preview.png ! alt :  ! title : c23565_106f2027161a440f9c547c5357048aa0_mv2-removebg-preview ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/inter-clamp-35mm-procet-scientific/,0,,simple,,"Estructura para paneles",,,,
"Acople de Riel - PROCET SCIENTIFIC",acople-de-riel-procet-scientific,,433,"Conector para unir rieles en instalaciones solares, proporcionando una alineación precisa y resistencia estructural.",,publish,,0,"2024-09-23 09:04:32",1,open,,,,no,no,,17242.5,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/c23565_7393eeb3757d4a8e98d931fd30cce1c4mv2.jpg ! alt :  ! title : c23565_7393eeb3757d4a8e98d931fd30cce1c4~mv2 ! desc :  ! caption :  | https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/c23565_03d5d6583b7246c6aca6269e5063f2d8mv2.jpg ! alt :  ! title : c23565_03d5d6583b7246c6aca6269e5063f2d8~mv2 ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/acople-de-riel-procet-scientific/,0,,simple,,"Estructura para paneles",,,,
"Riel Para Montaje de Paneles Solares - PROCET SCIENTIFIC",riel-para-montaje-de-paneles-solares-procet-scientific,,436,"Riel de alta calidad diseñado para el montaje seguro y eficiente de paneles solares en diversas configuraciones.",,publish,,0,"2024-09-23 09:08:34",1,open,,,,no,no,,155599.55,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/c23565_31d6a896413644eeb5226d904c047ef0mv2.webp ! alt :  ! title : c23565_31d6a896413644eeb5226d904c047ef0~mv2 ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/riel-para-montaje-de-paneles-solares-procet-scientific/,0,,simple,,"Estructura para paneles",,,,
"Breaker DC 2P, 63A, 550V, Meanray",breaker-dc-2p-63a-550v-meanray,,438,"Mini Breaker en DC Riel 63A 550V, termomagnetico. Marca Meanray",,publish,,0,"2024-09-23 09:11:40",1,open,,,,no,no,,73798.85,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/d376bb_4df748c709304bdc93306b65b75369a9mv2-1.webp ! alt :  ! title : d376bb_4df748c709304bdc93306b65b75369a9~mv2 (1) ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/breaker-dc-2p-63a-550v-meanray/,0,,simple,,"Protecciones y Accesorios",,,,
"Breaker DC 2P, 50A, 550V, Meanray",breaker-dc-2p-50a-550v-meanray,,440,"Mini Breaker en DC Riel 50A 550V, termomagnetico. Marca Meanray",,publish,,0,"2024-09-23 09:14:27",1,open,,,,no,no,,73815,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/d376bb_4df748c709304bdc93306b65b75369a9mv2-1.webp ! alt :  ! title : d376bb_4df748c709304bdc93306b65b75369a9~mv2 (1) ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/breaker-dc-2p-50a-550v-meanray/,0,,simple,,"Protecciones y Accesorios",,,,
"Longi 580W Hi-MO x6 Silver Frame Mono",longi-580w-hi-mo-x6-silver-frame-mono,,452,"<h3>Descripción del Panel Solar Longi 580W Hi-MO x6 Silver Frame Mono</h3>
El <strong>Longi 580W Hi-MO x6</strong> es un panel solar monocristalino de alta eficiencia, diseñado para maximizar la generación de energía en instalaciones fotovoltaicas de gran escala. Este panel cuenta con la tecnología avanzada Half-Cell, que mejora el rendimiento bajo condiciones de sombra parcial y optimiza la producción en climas difíciles. Su marco plateado y durabilidad lo hacen ideal para proyectos solares comerciales e industriales, ofreciendo un equilibrio entre potencia, rendimiento y estética.
<h3>Características del Panel Solar Longi 580W Hi-MO x6 Silver Frame Mono</h3>
<ul>
 	<li><strong>Potencia máxima (Pmax)</strong>: 580W</li>
 	<li><strong>Tensión de máxima potencia (Vmp)</strong>: 41.0V</li>
 	<li><strong>Corriente de máxima potencia (Imp)</strong>: 14.15A</li>
 	<li><strong>Tensión de circuito abierto (Voc)</strong>: 49.45V</li>
 	<li><strong>Corriente de cortocircuito (Isc)</strong>: 14.84A</li>
 	<li><strong>Eficiencia del módulo</strong>: 21.5%</li>
 	<li><strong>Dimensiones</strong>: 2278 mm x 1134 mm x 35 mm</li>
 	<li><strong>Peso</strong>: 31.1 kg</li>
 	<li><strong>Coeficiente de temperatura (Pmax)</strong>: -0.34%/°C</li>
 	<li><strong>Material de las células</strong>: Silicio monocristalino</li>
 	<li><strong>Número de células</strong>: 144 (configuración Half-Cell)</li>
 	<li><strong>Protección IP</strong>: IP68 (caja de conexiones)</li>
 	<li><strong>Vidrio</strong>: Vidrio templado de alta transmisión y baja reflexión</li>
 	<li><strong>Marco</strong>: Aluminio anodizado con acabado plateado</li>
 	<li><strong>Resistencia a la carga de viento y nieve</strong>: 2400 Pa / 5400 Pa</li>
 	<li><strong>Garantía de producto</strong>: 12 años</li>
 	<li><strong>Garantía de rendimiento</strong>: 25 años (80% de potencia garantizada)</li>
</ul>","El <strong>Longi 580W Hi-MO x6</strong> es un panel solar monocristalino de alta eficiencia con tecnología Half-Cell, ideal para proyectos comerciales. Ofrece una potencia de 580W y un rendimiento óptimo en condiciones de sombra parcial, con un diseño robusto y una garantía de 25 años para el rendimiento a largo plazo.",publish,,0,"2024-09-23 09:43:39",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://ecommerce.energy4cero.com/wp-content/uploads/2024/09/Longi-580-scaled.webp ! alt :  ! title : Longi 580 ! desc :  ! caption : ",,https://ecommerce.energy4cero.com/producto/longi-580w-hi-mo-x6-silver-frame-mono/,0,,simple,,"Paneles solares",,,,
