"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Download 1 name","Download 1 URL","Download 2 name","Download 2 URL"
"","simple","","DPS Clamper Solar, 1040V 40kA","","","","","","","","","","","","","","","","","","","","","206000","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","DPS Clamper Solar, 150V 40kA","","","","","","","","","","","","","","","","","","","","","206000","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","DPS Clamper Solar, 300V 40kA","","","","","","","","","","","","","","","","","","","","","226000","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","DPS Clamper Solar, 600V 40kA","","","","","","","","","","","","","","","","","","","","","20600","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 10mm Negro x 100 mts.","","","","","","","","","","","","","","","","","","","","","1125900","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 6mm Negro x 100 mts.","","","","","","","","","","","","","","","","","","","","","667400","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 4mm Negro x 100 mts.","","","","","","","","","","","","","","","","","","","","","472572","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 10mm Rojo x 100 mts.","","","","","","","","","","","","","","","","","","","","","1125900","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 6mm Rojo x 100 mts.","","","","","","","","","","","","","","","","","","","","","667400","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 4mm Rojo x 100 mts.","","","","","","","","","","","","","","","","","","","","","472572","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 6mm Negro x 250 mts.","","","","","","","","","","","","","","","","","","","","","1593400","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 4mm Negro x 250 mts.","","","","","","","","","","","","","","","","","","","","","1106500","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 6mm Rojo x 250 mts.","","","","","","","","","","","","","","","","","","","","","1593400","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","","Cable Solar FV 4mm Rojo x 250 mts.","","","","","","","","","","","","","","","","","","","","","1106500","Protecciones y Accesorios","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
